x,y,width,height
476,213,57,104
157,227,73,114
118,225,68,113
92,242,80,122
303,261,71,137
23,272,85,141
386,262,79,138
209,210,56,102
398,276,95,147
398,233,75,117
171,226,69,115
425,213,62,105
210,209,64,101
383,250,83,132
361,227,62,111
540,222,57,108
506,264,89,141
495,272,76,146
294,205,54,99
146,229,75,116
440,210,61,103
186,254,79,132
295,212,67,103
181,204,66,99
518,243,79,123
116,206,57,100
166,212,57,102
473,205,54,98
151,217,64,104
356,200,55,95
517,214,54,104
363,253,67,129
81,231,72,118
434,227,66,114
152,208,59,99
281,213,68,105
517,217,64,108
225,240,62,120
492,257,77,134
345,214,56,105
490,205,59,98
37,262,82,138
387,240,62,120
456,229,66,116
120,217,59,106
361,221,70,109
480,257,78,135
315,266,79,142
293,236,74,122
113,206,58,100
222,236,70,121
113,222,66,110
524,221,57,109
282,226,71,113
560,255,80,134
176,230,69,116
502,206,63,99
174,261,78,136
453,200,60,95
110,266,83,142
274,225,62,111
295,273,81,146
492,203,63,97
464,232,60,115
192,250,74,130
544,268,80,141
298,211,61,102
149,255,70,132
507,217,59,105
448,202,50,96
360,265,71,136
386,238,80,122
441,221,57,108
85,227,69,114
574,246,67,123
223,245,65,125
323,212,62,103
384,228,65,114
186,231,74,117
296,213,64,104
244,258,66,133
493,230,69,116
234,207,52,99
363,220,65,110
547,259,75,135
81,227,76,113
327,233,77,118
465,233,70,119
472,204,53,97
228,217,59,107
131,225,66,113
108,261,72,135
133,201,58,95
174,261,81,138
163,215,62,105
500,236,77,119
355,223,65,111
239,222,64,111
241,203,53,96
14,271,79,139
396,206,63,99
192,202,60,97
491,206,60,100
412,216,62,106
314,205,58,98
539,235,79,120
395,225,74,113
251,240,67,121
153,271,79,145
211,216,70,108
447,203,52,99
409,210,67,102
172,219,67,106
350,224,65,112
131,216,65,106
380,223,58,110
271,270,71,141
496,214,62,105
172,220,65,110
536,226,68,112
385,256,65,131
469,253,67,130
132,223,65,111
377,206,57,99
370,200,49,94
78,258,72,133
188,260,89,136
371,222,68,109
441,204,62,100
121,231,65,117
139,201,56,96
314,243,69,123
295,273,94,146
154,231,68,116
507,228,67,113
238,276,85,148
407,204,59,97
120,248,67,126
254,226,72,115
383,218,55,105
424,212,52,101
33,262,93,137
492,203,55,97
35,268,80,143
6,265,76,135
445,202,56,96
543,246,67,129
146,231,61,115
60,242,76,124
377,235,69,119
248,225,66,110
171,228,73,113
556,234,63,120
185,207,65,99
104,228,57,114
279,205,59,99
223,243,72,124
323,234,74,121
372,226,61,112
409,277,88,149
317,272,77,144
517,237,81,121
357,200,54,96
94,230,71,115
339,209,51,102
241,208,54,101
577,265,80,139
368,219,70,110
331,253,82,131
465,224,63,112
200,200,52,94
36,247,65,126
183,227,68,114
270,270,84,144
511,228,63,113
384,262,74,133
183,222,65,108
545,248,72,128
190,201,50,96
290,202,55,97
273,251,65,130
444,258,73,135
363,200,56,96
381,202,58,98
195,216,70,106
279,229,67,116
510,272,95,145
293,245,74,127
530,259,77,135
419,225,67,112
496,206,59,99
497,233,76,118
98,219,61,108
404,203,62,97
404,211,68,103
169,220,58,109
331,276,91,147
341,256,76,134
450,251,83,132
311,226,74,113
450,200,63,95
345,262,76,135
38,262,76,138
174,236,78,122
511,229,77,115
209,207,54,99
273,210,68,102
357,213,55,102
92,217,71,108
144,201,53,96
86,257,81,133
457,259,70,132
480,213,63,106
514,222,57,109
236,244,68,123
149,200,60,94
433,202,53,97
343,212,54,103
189,268,72,141
112,256,73,132
426,200,61,95
90,210,61,103
547,235,73,119
53,251,70,126
120,217,58,107
121,256,88,133
73,228,76,114
303,239,79,123
435,223,65,111
64,229,63,114
93,233,61,115
485,249,66,126
248,201,51,94
463,201,58,97
60,247,73,125
365,225,58,109
434,270,90,142
276,231,76,118
221,204,54,98
315,227,67,114
576,264,78,139
481,230,76,116
265,208,57,102
226,263,79,140
416,246,71,126
269,266,68,138
474,201,58,96
232,264,71,138
269,206,61,99
262,213,58,105
333,216,54,104
125,208,63,102
480,215,68,105
111,211,54,103
370,230,65,116
352,221,55,108
525,216,59,106
402,242,65,124
96,217,70,105
348,219,63,109
207,210,57,103
541,265,93,139
430,245,66,124
432,254,74,130
245,257,88,134
407,226,66,114
483,210,59,101
204,250,78,127
468,268,76,139
364,261,85,137
446,210,68,102
205,263,76,139
294,226,75,113
87,215,70,107
432,251,81,129
479,251,66,131
481,272,82,143
210,248,72,127
539,236,62,121
383,240,62,120
392,256,79,134
514,227,61,115
394,270,91,143
280,206,58,99
236,204,62,98
453,214,56,103
330,200,57,96
195,275,86,143
505,219,57,106
375,223,57,112
478,245,64,123
122,225,59,110
241,251,72,127
161,233,71,118
303,229,58,114
329,266,87,140
65,259,89,134
292,205,65,100
44,249,65,128
167,246,75,127
537,229,64,115
293,222,60,109
113,200,60,97
269,266,74,140
154,247,66,126
582,260,83,137
201,200,57,96
566,270,96,143
255,232,71,115
328,210,65,102
122,208,57,99
392,237,68,121
444,250,76,130
247,203,64,97
305,210,66,102
221,255,70,133
411,213,54,102
278,213,52,105
56,236,74,120
312,259,83,134
245,211,65,103
91,254,77,133
337,217,70,108
164,245,75,123
339,201,56,97
477,243,65,122
448,201,53,97
438,225,67,113
216,211,61,103
216,222,59,108
155,237,79,120
276,206,59,100
406,271,84,144
407,233,77,118
115,266,91,141
320,219,58,107
434,220,69,108
579,259,80,131
481,227,68,114
562,273,83,147
113,247,82,125
211,201,57,94
191,209,68,101
577,266,77,138
75,225,69,110
96,256,85,134
288,204,64,98
140,219,59,108
324,220,64,109
273,203,58,98
170,244,74,127
419,201,55,96
131,203,56,97
199,215,55,104
375,203,55,97
63,245,67,126
385,241,66,120
128,223,66,111
216,210,68,102
210,277,94,147
358,233,62,116
192,220,71,109
108,219,66,108
453,230,58,114
256,228,58,113
171,223,67,111
457,244,73,124
74,231,76,117
359,208,59,101
28,273,93,146
388,208,58,102
207,213,55,103
502,254,72,134
422,221,70,109
269,275,78,143
82,220,58,109
544,273,75,145
520,218,64,108
534,276,83,143
305,200,56,96
254,251,69,128
182,202,51,96
210,218,64,108
305,214,58,106
392,213,57,104
506,205,51,98
254,215,60,106
108,262,79,138
442,249,74,129
268,272,93,145
98,216,65,106
536,245,76,127
387,204,58,98
555,248,71,128
384,270,77,142
559,247,73,129
473,258,79,136
162,265,79,140
249,268,89,141
380,219,72,109
164,276,93,148
156,200,57,96
491,256,71,131
453,262,76,136
424,207,66,102
423,251,77,132
229,220,57,107
120,208,58,99
360,201,52,98
280,200,57,96
99,214,68,105
278,226,60,111
287,235,75,121
292,216,62,106
425,211,54,102
280,201,53,95
215,238,67,120
456,260,87,136
171,256,80,133
413,249,76,126
139,231,77,118
273,255,76,134
500,206,60,100
415,229,59,113
69,226,68,113
327,202,52,96
270,249,66,129
371,218,70,107
76,257,69,131
129,203,58,97
569,261,77,136
476,200,58,96
314,203,58,98
439,224,73,113
163,262,76,138
92,231,62,115
196,225,71,114
530,255,81,131
0,274,76,146
239,221,65,110
337,274,76,141
305,247,65,123
202,200,57,96
93,235,71,119
456,209,62,101
548,232,64,116
255,227,62,113
127,243,71,124
486,206,60,100
540,243,80,126
134,233,71,117
496,209,66,101
289,244,64,122
304,201,54,95
92,231,72,117
467,237,64,118
585,270,82,144
236,212,61,103
318,217,57,107
399,276,74,148
172,262,80,136
213,250,65,129
93,258,86,136
87,214,62,105
482,226,60,114
425,209,61,102
193,202,62,97
176,256,73,132
503,262,76,137
472,266,80,141
451,201,56,96
98,231,67,117
528,224,60,112
343,220,57,110
339,256,71,133
45,271,87,144
337,275,79,145
428,253,76,132
263,234,69,120
343,200,58,97
482,207,62,99
332,233,61,115
310,203,56,98
283,203,54,98
509,211,54,101
331,258,78,135
451,237,80,121
374,269,93,143
183,200,57,93
451,265,84,142
432,247,83,127
117,246,79,128
